name,category,question,answer
Acme Translations,Numeric,cuanto tardaron en construirse las torres gemelas,11.0 año terrestre
Acme Translations,Entity,quién canta love you like there's no tomorrow,Chris Young
Acme Translations,Numeric,¿Cuántas temporadas hay de Scream Queens?,2.0
Acme Translations,Date,cuando fue la última vez que los lakers llegaron a los playoffs,2013
Acme Translations,Numeric,"¿cuántos episodios tiene una temporada de ""stranger things""?",3.0
Acme Translations,Entity,"quien canta ""i hear you knocking but you can't come in""",Dave Edmunds
Acme Translations,Entity,a quien se le ocurrió el programa la voz,John de Mol
Acme Translations,Date,cuando empezó y acabó el viejo oeste,1865
Acme Translations,Date,cuándo jugaron los rams la super bowl,1999
Acme Translations,Entity,"¿Quién cantó la canción Oh, What a Night?",The Four Seasons
Acme Translations,Entity,¿Quuien cantó i want to be with you everywhere?,Fleetwood Mac
Acme Translations,Entity,quién interpretó a maría magdalena en jesucristo superstar,Yvonne Elliman
Acme Translations,Entity,quien escribió el libro de las lamentaciones en la biblia,Jeremías
Acme Translations,Entity,¿Quién tiene más seguidores de Instagram en Instagram?,Cristiano Ronaldo
Acme Translations,Entity,¿Cual es el episidio del roast de The Office?,Stress Relief
Acme Translations,Entity,¿Quién produce la mayor cantidad de pistachos del mundo?,Irán
Acme Translations,Entity,¿Cuál es el nombre del estadio de los Arizona Cardinals?,State Farm Stadium
Acme Translations,Entity,"¿quién cantaba ""i've never been to me""?",Charlene
Acme Translations,Numeric,Cuántos estados cubre las Montañas Rocosas,6.0
Acme Translations,Entity,quien cantaba let's go all the way,Sly Fox
Acme Translations,Entity,quien ganó got talent america en 2015,Paul Zerdin
Acme Translations,Numeric,cuál es el límite de edad para las girl scouts,5.0 18.0 año terrestre
Acme Translations,Date,Cuál fue la última vez que los steelers jugaron contra los the panthers,2019-08-29
Acme Translations,Date,cuando fue la última vez que los republicanos ganaron el voto popular,2004
Acme Translations,Date,¿Cuándo fue la última vez que The Cubs ganaron la serie mundial?,2016
Acme Translations,Date,¿Cuándo comienza a circular la nueva moneda de libra?,2017-03-28
Acme Translations,Date,cuándo fue elegido michael jordan para jugar en la nba,1984
Acme Translations,Date,¿Cuándo es la última vez que se modificó la constitución?,1992
Acme Translations,Entity,quienes eran los personajes en cantando bajo la lluvia,Donald O'Connor
Acme Translations,Numeric,como de largo son de media los vagones de mercancia,55.0 67.0 pie
Acme Translations,Entity,quién canta i'll make a man out of you,Donny Osmond
Acme Translations,Date,cuándo ganó su primer anillo tom brady,2002
Acme Translations,Entity,dónde se va a celebrar el mundial,Catar
Acme Translations,Entity,"como se llaman los personajes de los ""tweenies""",Judy
Acme Translations,Entity,quien interpreta a la pantera negra en la pelicula pantera negra,Chadwick Boseman
Acme Translations,Numeric,qué número de canal tiene cw en direc tv,385.0
Acme Translations,Date,cuando termina the amazing world of gumball,2019-06-24
Acme Translations,Entity,quién cantaba what is love baby don't hurt me,Haddaway
Acme Translations,Entity,¿cuál es el ingrediente activo de todos los desinfectantes de manos aprobados por la FDA?,etanol
Acme Translations,Date,cuando salió genie in a bottle,1999
Acme Translations,Entity,quién protagonizaba la película el puente sobre el río kwai,William Holden
Acme Translations,Entity,¿Cuáles eran los nombres de los Caballeros de la Mesa Redonda?,Gareth
Acme Translations,Entity,"quien es el presentador de ""america has talent""",Simon Cowell
Acme Translations,Entity,quién canta lord it's hard to be humble,Mac Davis
Acme Translations,Entity,quién cantaba la canción take me to church,Hozier
Acme Translations,Date,cuándo se estrenó la película need for speed,2014-03-14
Acme Translations,Entity,Quienes son los modelos de El Precio Justo,James O'Halloran
Acme Translations,Entity,¿Quién lideró al norte en la guerra civil?,Abraham Lincoln
Acme Translations,Entity,quien interpretó a blancanieves en érase una vez,Ginnifer Goodwin
Acme Translations,Entity,quién fue el hombre más viejo que haya vivido,Jeanne Calment
Acme Translations,Numeric,cuantas veces ha ganado australia el mundial de cricket,5.0
Acme Translations,Entity,"quién cantó primero i will always love you, dolly parton o whitney houston",Porter Wagoner
Acme Translations,Entity,¿cuál es el nombre del primer presidente de America?,George Washington
Acme Translations,General,cuál es el nombre de la universidad en animal house,Faber College
Acme Translations,Entity,actores de la película 60 segundos,Angelina Jolie
Acme Translations,Numeric,cuantas temporadas de la hora de bill bosby hay,8.0 estaciones del año
Acme Translations,Date,cuando se celebró la primera copa del mundo de cricket,1975
Acme Translations,Entity,¿Quién es el dios del inframundo en la mitología griega?,Hades
Acme Translations,Date,cuándo salió don't smile at me,2017-08-11
Acme Translations,Entity,quién interpretaba a charlene darling en el show de andy griffith,Maggie Peterson
Acme Translations,Entity,¿quién es el capitan del equipo de cricket de las indias Occidentales?,Jason Holder
Acme Translations,Entity,cual es la ciudad mas grande en nueva zelanda,Lago Taupo
Acme Translations,Entity,que es el autor de un largo camino,Ishmael Beah
Acme Translations,Date,cuando dejó estados unidos la guerra de vietnam,1973-03-29
Acme Translations,Entity,quién hizo de harley quinn en el escuadrón suicida,Margot Robbie
Acme Translations,Numeric,¿Cuál es la población del estado de Maine?,1338000.0
Acme Translations,Entity,quién interpretaba a tj en head of the class,Billy Connolly
Acme Translations,Entity,Quien interpreta a Peter Quill en Guardianes de la Galaxia,Chris Pratt
Acme Translations,Date,cuándo fue lanzado el samsung galaxy s6 edge?,2015-04-10
Acme Translations,Entity,100 cosas que hacer antes de que te expulsen del instituto,Jack DeSena
Acme Translations,Entity,quien canta someone that i used to know,Gotye
Acme Translations,Numeric,cuántos galones hay en un barril de whisky,53.0 Galones
Acme Translations,Entity,contra quien lucho america en la guerra revolucionaria,Gran Bretaña
Acme Translations,Date,cuando salio bennie and the jets,2000
Acme Translations,Date,cuándo fue la última vez que estados unidos no tenía deuda pública,1835-01-08
Acme Translations,Entity,"¿Quién cantaba la canción ""You're my everything""?",Santa Esmeralda
Acme Translations,Entity,¿Quién cantó la canción I Love the Nightlife?,Alicia Bridges
Acme Translations,Entity,equipos que nunca han ganado una serie mundial,Seattle Mariners
Acme Translations,Entity,a quién se le conocía como la dondella de orleans,Juana de Arco
Acme Translations,Entity,quien corrió la primera sub four minute mile,Roger Bannister
Acme Translations,Entity,Quién cantó I've got spurs that jingle jangle jingle,Gene Autry
Acme Translations,Entity,cuál fue la primera batalla en a guerra de vietnam,Batalla del valle de Ia Drang
Acme Translations,Entity,¿Quién ha jugado en la Super Bowl de este año?,Los Angeles Rams
Acme Translations,Entity,quién es el actual cirujano general de estados unidos,Jerome Adams
Acme Translations,Entity,quien interpreto a rachel en la original blade runner,Sean Young
Acme Translations,Entity,dónde se encuentra el puente más largo de estados unidos,Lago Pontchartrain
Acme Translations,Entity,a quién se le ocurrió la idea del día del padre,Sonora Smart Dodd
Acme Translations,Entity,de donde es originario el apellido guzmán,España
Acme Translations,Entity,quién canta la canción please don't go,KC and the Sunshine Band
Acme Translations,Entity,¿quién mantiene el récord de más yardas a la carrera en un partido?,Adrian Peterson
Acme Translations,Entity,quién es la persona más rica que ha existido,Mansa Musa
Acme Translations,Entity,quién es el youtuber con más suscripciones en el mundo,T-Series
Acme Translations,Entity,Dónde se encuentra Times Square en Nueva York?,Estados Unidos
Acme Translations,Yes/No,¿El full es mejor que una escalera en el póquer?,yes
Acme Translations,Entity,Cual es la estación de radio de los Piratas de Pittshburgh,KDKA-FM
Acme Translations,Entity,quien es el entrenador de los toronto raptors,Nick Nurse
Acme Translations,Entity,quién escribió la canción you were always on my mind,Johnny Christopher
Acme Translations,Entity,quien es el actor de john wick,Keanu Reeves
Acme Translations,Entity,quién canta take a look at me now,Phil Collins
Acme Translations,Entity,quien canta back in the high life again,Steve Winwood
Acme Translations,Entity,quién canta going to the chapel and we're gonna get married,The Dixie Cups
Acme Translations,Entity,de qué está hecha la bandera americana,nailon
Acme Translations,Entity,¿De dónde viene la estatua de la libertad?,Isla de la Libertad
Acme Translations,Entity,quién canta come together right now over me,The Beatles
Acme Translations,Entity,quien es el actor principal en the show arrow,Katie Cassidy
Acme Translations,Entity,quién tiene el récord de victorias en las grandes ligas,New York Yankees
Acme Translations,Entity,quién cantó Now that we found love what are we gonna do with it,Heavy D
Acme Translations,Entity,quién hizo de bella en la bella y la bestia,Emma Watson
Acme Translations,Date,"¿Cuándo se compuso la canción ""while my guitar gently weeps""?",1968
Acme Translations,Entity,quién cantaba la canción fox on the run,Sweet
Acme Translations,Numeric,cuánto es 10 elevado a 10,10000000000.0
Acme Translations,Numeric,cuál fue la magnitud del terremoto de Northridge,6.7
Acme Translations,Entity,quien canta please come to boston,Rehab
Acme Translations,Numeric,"cual es la poblacion actual de ""phoenix"" ""arizona""",1626000.0
Acme Translations,Entity,¿Quién tiene el mayor número de Grammys de todos los tiempos?,Georg Solti
Acme Translations,Numeric,¿Cuál es la población actual de Alburquerque en Nuevo México?,558545.0
Acme Translations,Entity,quién cantó la canción i can see clearly now,Ray Charles
Acme Translations,Entity,quién fue el primer presidente de Sudáfrica,Nelson Mandela
Acme Translations,Date,¿Cuándo se construyó la Estatua de la Libertad?,1875-09
Acme Translations,Entity,quien escribio la cancion here comes the sun,George Harrison
Acme Translations,Entity,Cual fue la primera película en color,With Our King and Queen Through India
Acme Translations,Numeric,¿Cuántos episodios hay en la temporada dos de Boku no Hīrō Akademia?,25.0 episodio
Acme Translations,Date,cuándo sale el calendario de la premier league,2019-06-13
Acme Translations,Entity,quién canta la canción sugar pie honey bunch,Four Tops
Acme Translations,Entity,Dónde es jugado el partido del Hall of Fame,Estados Unidos
Acme Translations,Numeric,cuánto vale el premio de so you think you can dance,250000.0 dólar estadounidense
Acme Translations,Entity,quién canta la canción fly me to the moon,Frank Sinatra
Acme Translations,Date,cuando salió power rangers mystic force,2006-02-20
Acme Translations,Numeric,cuántos partidos juega cada equipo de la nba,82.0
Acme Translations,Entity,quién es la chica que interpreta en Fifty Shades of Grey,Dakota Johnson
Acme Translations,Entity,quién hace de el gato en cat in the hat,Mike Myers
Acme Translations,Entity,"¿Quién pone la voz de Vinnie en ""Family Guy""?",Tony Sirico
Acme Translations,Entity,quien cantó what doesn't kill you makes you stronger,Kelly Clarkson
Acme Translations,Entity,quien gano el mundial los ultimos cinco años,Houston Astros
Acme Translations,Date,cuándo salió Call of Duty World at War,2008-11-11
Acme Translations,Entity,¿Quién tiene el mayor número de victorias en el país?,George Strait
Acme Translations,Entity,quien canto la cancion what condition my condition was in,Bettye LaVette
Acme Translations,Entity,quién hacía de madre en aquellos maravillosos 70,Debra Jo Rupp
Acme Translations,Numeric,cuál es la población de sumter en carolina del sur,39982.0
Acme Translations,Date,cuando es el orgullo gay en chicago illinois,2019-06-30
Acme Translations,Entity,quien interpreta a gaston en la pelicula la bella y la bestia,Luke Evans
Acme Translations,Numeric,cuantos dias de obligación sagrada hay en la iglesia católica,6.0
Acme Translations,Entity,quien canta wild thing you make my heart sing,The Troggs
Acme Translations,Yes/No,ha existido algún huracán llamado kathy,yes
Acme Translations,Entity,quien canto la cancion have you ever seen the rain,Creedence Clearwater Revival
Acme Translations,Date,cuándo se redactó la declaración de los derechos humanos,1948
Acme Translations,Entity,"¿Dónde se ha filmado ""Stranger things""?",Atlanta
Acme Translations,Entity,que equipos estan en la conferencia del sol atlantico,Lipscomb Bisons
Acme Translations,Entity,quien cantó la canción you broke up with me,Walker Hayes
Acme Translations,Numeric,cuál es la temperatura más alta registrada en nueva york,108.0 escala Fahrenheit
Acme Translations,Entity,¿Quién tiene la mayoría en el Congreso ahora mismo?,Partido Republicano
Acme Translations,Entity,donde tuvo lugar la batalla de gettysburg,Pensilvania
Acme Translations,Date,¿Cuándo ganaron los Chicago Cubs la Serie Mundial?,2016
Acme Translations,Entity,¿Quién fue ascendido a Primera División el año pasado?,Cardiff City Football Club
Acme Translations,Entity,¿qué palabra inglesa tiene el mayor número de sílabas?,pneumonoultramicroscopicsilicovolcanoconiosis
Acme Translations,Entity,cuál es la capital del estado de nuevo méxico,Santa Fe
Acme Translations,Entity,¿Quién tiene el récord mundial de aguantar la respiración más tiempo?,Tom Sietas
