name,category,question,answer
Globex Localization,Numeric,quanto tempo levou para as torres gêmeas serem construídas,11.0 ano
Globex Localization,Entity,quem canta te amo como se não houvesse amanhã,Chris Young
Globex Localization,Numeric,quantas temporadas de Scream Queens existem,2.0
Globex Localization,Date,quando foi a última vez que os lakers participaram das playoffs,2013
Globex Localization,Numeric,quantos episódios tem uma temporada de stranger things,3.0
Globex Localization,Entity,quem canta i hear you knocking but you can't come i,Dave Edmunds
Globex Localization,Entity,quem veio com o programa The Voice,John de Mol
Globex Localization,Date,quando o velho oeste começou e terminou,1865
Globex Localization,Date,quando os rams jogaram no super bowl,1999
Globex Localization,Entity,Quem cantava a canção Oh what a night?,The Four Seasons
Globex Localization,Entity,quem cantou i want to be with you everywhere,Fleetwood Mac
Globex Localization,Entity,quem interpretou maria madalena em jesus cristo superstar,Yvonne Elliman
Globex Localization,Entity,quem escreveu o livro das lamentações na bíblia,Jeremias
Globex Localization,Entity,quem tem o maior número de followers no instagram,Cristiano Ronaldo
Globex Localization,Entity,que episódio do The Office é o the roast,Alívio de Estresse
Globex Localization,Entity,quem produz mais pistaches no mundo,Irão
Globex Localization,Entity,qual é o nome do estádio do arizona cardinals,University of Phoenix Stadium
Globex Localization,Entity,quem cantava i've never been to me,Charlene
Globex Localization,Numeric,quantos estados as montanhas rochosas cobrem,6.0
Globex Localization,Entity,quem cantou let's go all the way,Sly Fox
Globex Localization,Entity,quem ganhou america's got talent em 2015,Paul Zerdin
Globex Localization,Numeric,qual é o limite de idade para escoteiras,5.0 18.0 ano
Globex Localization,Date,quando foi a última vez que os steelers jogaram contra os panthers,2019-08-29
Globex Localization,Date,quando foi a última vez que os republicanos venceram pelo voto popular,2004
Globex Localization,Date,quando foi a última vez que o cubs venceu a world series,2016
Globex Localization,Date,quando saiu a nova moeda de libra,2017-03-28
Globex Localization,Date,quando Michael Jordan foi convocado para a NBA?,1984
Globex Localization,Date,quando é a última vez que a constituição foi alterada,1992
Globex Localization,Entity,quem era os personagem de singing in the sain,Donald O'Connor
Globex Localization,Numeric,Qual o tamanho de um vagão de trem médio?,55.0 67.0 pé
Globex Localization,Entity,quem canta i'll make a man out of you,Donny Osmond
Globex Localization,Date,quando tom brady ganhou seu primeiro ring,2002
Globex Localization,Entity,onde será a copa do mundo?,Catar
Globex Localization,Entity,Quais são os nomes das personagens do The Tweenies?,Judy
Globex Localization,Entity,quem interpretou o pantera negra no filme pantera negra,Chadwick Boseman
Globex Localization,Numeric,qual o número do canal cw na directv,385.0
Globex Localization,Date,quando termina o incrível mundo de gumball,2019-06-24
Globex Localization,Entity,quem cantava what is love baby don't hurt me,Haddaway
Globex Localization,Entity,Qual é o ingrediente ativo em todos os higienizadores de mãos aprovados pela FDA,etanol
Globex Localization,Date,quando que genie in a bottle foi lançado,1999
Globex Localization,Entity,quem estrelou o filme a ponte do rio kwai,William Holden
Globex Localization,Entity,qual eram os nomes dos cavaleiros da távola redonda,Galaaz
Globex Localization,Entity,quem é o apresentador do america's got talent,Simon Cowell
Globex Localization,Entity,quem canta lord it's hard to be humble,Mac Davis
Globex Localization,Entity,quem cantou a música take me to church,Hozier
Globex Localization,Date,quando saiu need for speed o filme,2014-03-14
Globex Localization,Entity,quem são os modelos de price is right,James O'Halloran
Globex Localization,Entity,quem liderou o norte na guerra civil,Abraham Lincoln
Globex Localization,Entity,quem interpretou snow white em once upon a time,Ginnifer Goodwin
