name,category,question,answer
Initech Docs,Numeric,how long did it take the twin towers to be built,11.0 years
Initech Docs,Entity,who sings love you like there's no tomorrow,Chris Young
Initech Docs,Numeric,how many seasons of scream queens are there,2.0
Initech Docs,Date,when was the last time the lakers made the playoffs,2013
Initech Docs,Numeric,how many episodes in a season of stranger things,3.0
Initech Docs,Entity,who sings i hear you knocking but you can't come in,Dave Edmunds
Initech Docs,Entity,who came up with the show the voice,John de Mol
Initech Docs,Date,when did the wild west start and end,1865
Initech Docs,Date,when did the rams play in the super bowl,1999
Initech Docs,Entity,who sang the song oh what a night,The Four Seasons
Initech Docs,Entity,who sang i want to be with you everywhere,Fleetwood Mac
Initech Docs,Entity,who played mary magdalene in jesus christ superstar,Yvonne Elliman
Initech Docs,Entity,who wrote the book of lamentations in the bible,Jeremiah
Initech Docs,Entity,who has the most instagram followers on instagram,Cristiano Ronaldo
Initech Docs,Entity,what episode of the office is the roast,Stress Relief
Initech Docs,Entity,who produces the most pistachios in the world,Iran
Initech Docs,Entity,what is the name of the arizona cardinals stadium,State Farm Stadium
Initech Docs,Entity,who sang i've never been to me,Charlene
Initech Docs,Numeric,how many states does the rocky mountains cover,6.0
Initech Docs,Entity,who sang let's go all the way,Sly Fox
Initech Docs,Entity,who won america's got talent in 2015,Paul Zerdin
Initech Docs,Numeric,what is the age limit for girl scouts,5.0 18.0 years
Initech Docs,Date,when was the last time the steelers played the panthers,2019-08-29
Initech Docs,Date,when was the last time republicans won the popular vote,2004
Initech Docs,Date,when was the last time the cubs won the world series,2016
Initech Docs,Date,when did the new pound coin come out,2017-03-28
Initech Docs,Date,when was michael jordan drafted to the nba,1984
Initech Docs,Date,when is the last time the constitution was amended,1992
Initech Docs,Entity,who were the characters in singing in the rain,Donald O'Connor
Initech Docs,Numeric,how long is the average freight train car,55.0 67.0 feet
Initech Docs,Entity,who sings i'll make a man out of you,Donny Osmond
Initech Docs,Date,when did tom brady win his first ring,2002
Initech Docs,Entity,where is the world cup going to be held,Qatar
Initech Docs,Entity,what are the names of the tweenies characters,Judy
Initech Docs,Entity,who plays black panther in the movie black panther,Chadwick Boseman
Initech Docs,Numeric,what channel number is the cw on directv,385.0
Initech Docs,Date,when does the amazing world of gumball end,2019-06-24
Initech Docs,Entity,who sang what is love baby don't hurt me,Haddaway
Initech Docs,Entity,what is the active ingredient in all fda approved hand sanitizers,ethanol
Initech Docs,Date,when did genie in a bottle come out,1999
Initech Docs,Entity,who starred in the movie bridge over the river kwai,William Holden
Initech Docs,Entity,what were the names of the knights of the round table,Gareth
Initech Docs,Entity,who is the host of america has talent,Simon Cowell
Initech Docs,Entity,who sings lord it's hard to be humble,Mac Davis
Initech Docs,Entity,who sang the song take me to church,Hozier
Initech Docs,Date,when did need for speed the movie come out,2014-03-14
Initech Docs,Entity,who are the models on price is right,James O'Halloran
Initech Docs,Entity,who led the north in the civil war,Abraham Lincoln
Initech Docs,Entity,who played snow white in once upon a time,Ginnifer Goodwin
Initech Docs,Entity,who was the oldest man who ever lived,Jeanne Calment
Initech Docs,Numeric,how many times has australia won the cricket world cup,5.0
Initech Docs,Entity,who sang i will always love you first dolly parton or whitney houston,Porter Wagoner
Initech Docs,Entity,what is the name of the first president of america,George Washington
Initech Docs,General,what is the name of the college in animal house,faber college
Initech Docs,Entity,actors in the movie gone in 60 seconds,Angelina Jolie
Initech Docs,Numeric,how many seasons are there of the cosby show,8.0 seasons
Initech Docs,Date,when was the first cricket world cup held,1975
Initech Docs,Entity,who is the god of the underworld in greek mythology,Hades
Initech Docs,Date,when did don't smile at me come out,2017-08-11
Initech Docs,Entity,who played charlene darling on the andy griffith show,Maggie Peterson
Initech Docs,Entity,who is the captain of west indies in cricket,Jason Holder
Initech Docs,Entity,what is the largest lake in new zealand,Lake Taupo
Initech Docs,Entity,who is the author of a long way gone,Ishmael Beah
